"Password","incorrect","prefixSalt","suffixSalt","oneSubstitution","oneInsertion","oneDeletion","oneCapMistake","oneSubstitutionDifference","oneInsertionDifference","oneDeletionDiffernce","oneCapDifference","incorrectDifference"
"f)4b{jhgIP(","!lnCQgeth8U","MKM7o8bLSLBUOfF/5p8msUd+V","pXuRh7Nw66LDoOQLxSuXxYlOi","f)4b{jhgIe(","f)4b{juhgIP(","f)4b{hgIP(","f)4b{JhgIP(",46,50,51,41,249
"dvz4[E2R0H","`pce1`ea#Z","BwQrdQYuYYzNWiXbMXenkEReJ","t1WdF+9aKVHfXxF/1gH+Vo3Na","dvz4[E2R|H","d)vz4[E2R0H","dvz4[E20H","dvz4[E2R0h",26,56,43,67,128
"mmj<wo{$9uo","kx&v6Gl(zE","p3TRR+cSyLL0joLWhPMZTBH9b","mqy1ojKmVKkHIx7IFg5fcHCKn","mmj1wo{$9uo","mmj-<wo{$9uo","mmj<wo{9uo","Mmj<wo{$9uo",28,32,141,21,194
"tfu7S(q-qp","7b~zM=vQN:","LMs+MD/9bhebhsenYb1K3zZ/5","MacBMHU6Y0YU7Tv+HurbOd3Fl","teu7S(q-qp","tfu97S(q-qp","tfu7S(q-p","tfu7S(Q-qp",49,59,73,46,152
"$+ymsaoQP7i","Lh{x$X!FY0J","dapGRylMK/ZV6tdAjn90XjcV+","6oU4eYfhjE7j/aURSwPR6as7L","$+ymsa7QP7i","$+ymsao9QP7i","$+ymsaoP7i","$+yMsaoQP7i",37,166,41,84,276
"%;Crhjvv1p","vzs~{(P-^1{","10t/h4MmrIZPbNSoMVlzHW01P","ZMwfa7m853AwCRsqCALr2i/k2","%vCrhjvv1p","%;Crghjvv1p","%;Crhjvv1","%;CrhjvV1p",38,248,70,67,331
"tAS2zchvzs@","?lPvHuA4vp","lQR3ygqtEck32TB90+lt8iFE/","MFyx5nod1W2a7K89TOf2OBQUI","tASRzchvzs@","^tAS2zchvzs@","tAS2chvzs@","tAs2zchvzs@",56,80,87,91,307
"dszpbp9^MK","yFhtqWzln0#","UswX+GNFLMNzA992qn7DgsFQv","0pAZ6B7ohAZqdo5KDSUUGYGZx","dTzpbp9^MK","ds:zpbp9^MK","dszpbp^MK","dszPbp9^MK",60,86,52,65,200
"j5Bqre)9\h","dijgyRrp7<p","ZcfVvKB1+ph41h7pFQ0NcD2Jx","oHXa/sRklSdGT0r8AH3+N6im6","u5Bqre)9\h","ji5Bqre)9\h","j5Bqre)\h","j5BqRe)9\h",61,71,70,45,225
"h:kMYsJ0tM","=jXmmH6^yje","iVry3lLhrPG2fDGUwpeBONlaV","d9RO0GjlmawDzNXPNAOK+rICr","h:EMYsJ0tM","h[:kMYsJ0tM","h:kYsJ0tM","H:kMYsJ0tM",63,34,86,103,118
"<Vjr/$e:8`t","Hys8t<.c^o","WBIIYCf9HEp6YiZRSVWZxdJue","LR4cZDzocodN2Et8Hd2kJ0l9W","<Vjr>$e:8`t","<Vj4r/$e:8`t","<Vjr$e:8`t","<vjr/$e:8`t",51,128,124,93,243
"hL_5a]OQj2","gr]vVSry0cn","vHbIOQvirGY7kXI47OnDLNbbt","ihvCHEtr0/KKW1zx745hy9yPQ","hX_5a]OQj2","hL9_5a]OQj2","hL_5a]Oj2","HL_5a]OQj2",114,153,152,123,201
"==r4$X[{w>","hyv/ZFtyj7x","Oso/BOkqPbOKaqIqh3HOarvu1","1KG8I6N2ykVGQy2x29nOHtiFN","==a4$X[{w>","==r4$X[{w/>","==r4$X{w>","==r4$x[{w>",86,70,60,68,184
"?y<l&gJ6dXR","v9*ernSbWhF","jod/Jugh4rzCetzYh/loF2LXb","RtRjJbwVhd6t5Ne1E+7ecx+9m","?y<l&g%6dXR","?}y<l&gJ6dXR","?y<l&gJ6dX","?y<l&gJ6dXr",46,194,66,43,175
"x4XV~dPCH]^",">nYwrAoS4]j","70R8Yx5zAdNqHdJoiOJfv2SwF","fwtAYirGLHbMGzfTrn+9tUrub","x4XV~d""CH]^","x4XV~dkPCH]^","x4XV~dPH]^","x4xV~dPCH]^",157,67,87,138,334
"q$vsezKo3bpw","m2vdgNSura$","vADGQYpWGDzpfmNlpYaffBJc1","r/n0EDxWpPLDBwwY4jLyBlnLC","q$vsepKo3bpw","q$vsezKo3bp_w","q$vsezK3bpw","q$vsezKo3bPw",18,216,47,98,183
":pj.wIz4pu","dxA9yc`l(w","iJZSU+qPPk1UCdfglV6j/ZzPD","o2/I9pCWWXwkUx3ESNFqZjjvi","qpj.wIz4pu",":pjJ.wIz4pu",":pj.wIz4u",":Pj.wIz4pu",42,184,136,134,221
"xj3mg`zGi{i","aWo`+=wOz0","R0zOBk9JneElp4T2Yb40pasZ6","XUsYfMJT/u4S5ZJ9cw1XSdW21","xj_mg`zGi{i","xj3mgv`zGi{i","xj3mg`zGii","xj3Mg`zGi{i",49,106,100,57,319
