"Password","incorrect","prefixSalt","suffixSalt","threeSubstitution","threeInsertion","threeDeletion","threeCapMistake","threeSubstitutionDifference","threeInsertionDifference","threeDeletionDiffernce","threeCapDifference","incorrectDifference"
"f)4b{jhgIP(","!lnCQgeth8U","MKM7o8bLSLBUOfF/5p8msUd+V","pXuRh7Nw66LDoOQLxSuXxYlOi","^L4b{jhg+P(","bVx{jkhgIP(","f4b{jgIP","F)4b{jhgip(",88,183,118,156,249
"dvz4[E2R0H","`pce1`ea#Z","BwQrdQYuYYzNWiXbMXenkEReJ","t1WdF+9aKVHfXxF/1gH+Vo3Na","dTz2[E2RpH","zbr4[DE2R0H","dvz[ERH","DvZ4[e2R0H",182,156,119,127,128
"mmj<wo{$9uo","kx&v6Gl(zE","p3TRR+cSyLL0joLWhPMZTBH9b","mqy1ojKmVKkHIx7IFg5fcHCKn","yZj<wQ{$9uo","jj<woj{$9u8o","mmjwo$9u","mMj<wo{$9uOO",277,245,133,94,194
"tfu7S(q-qp","7b~zM=vQN:","LMs+MD/9bhebhsenYb1K3zZ/5","MacBMHU6Y0YU7Tv+HurbOd3Fl","tau7S(#pqp","thfu7S;(q-q[p","tfu(q-p","tFTfu7S(q-Qp",140,230,114,91,152
"$+ymsaoQP7i","Lh{x$X!FY0J","dapGRylMK/ZV6tdAjn90XjcV+","6oU4eYfhjE7j/aURSwPR6as7L","$+6mthoQP7i","m[s/aodQP7i","$+msaQP7","$+YMsaoqP7i",122,255,271,226,276
"%;Crhjvv1p","vzs~{(P-^1{","10t/h4MmrIZPbNSoMVlzHW01P","ZMwfa7m853AwCRsqCALr2i/k2","%;C4hjT.1p","Cvr.hjNvv1p","%Crjvvp","%;CrhjvVRhjvv1P",136,320,300,163,331
"tAS2zchvzs@","?lPvHuA4vp","lQR3ygqtEck32TB90+lt8iFE/","MFyx5nod1W2a7K89TOf2OBQUI","tAS2Ac^azs@","t?QAS2Lzchvzs@","ASzchvz@","tAS2ZchvZHvzs@",126,240,213,153,307
"dszpbp9^MK","yFhtqWzln0#","UswX+GNFLMNzA992qn7DgsFQv","0pAZ6B7ohAZqdo5KDSUUGYGZx","ds/pbpd^M)","bGp790^MK","dspp9^K","dszpBP9^Mk",135,168,180,139,200
"j5Bqre)9\h","dijgyRrp7<p","ZcfVvKB1+ph41h7pFQ0NcD2Jx","oHXa/sRklSdGT0r8AH3+N6im6","j5aqme)97h","jV5TBqreX)9\h","Bre)9\h","j5BqrERE)9\h",93,194,123,90,225
"h:kMYsJ0tM","=jXmmH6^yje","iVry3lLhrPG2fDGUwpeBONlaV","d9RO0GjlmawDzNXPNAOK+rICr","^DkHYsJ0tM","MDYstJ0KtM","hkMYsJM","h:KMySJ0tM",107,275,85,124,118
