"Password","incorrect","prefixSalt","suffixSalt","twoSubstitution","twoInsertion","twoDeletion","twoCapMistake","twoSubstitutionDifference","twoInsertionDifference","twoDeletionDiffernce","twoCapDifference","incorrectDifference"
"f)4b{jhgIP(","!lnCQgeth8U","MKM7o8bLSLBUOfF/5p8msUd+V","pXuRh7Nw66LDoOQLxSuXxYlOi","f)-bujhgIP(","f)4b{jJhgwIP(","f)4bjhIP(","f)4b{PHGIJ(",62,165,75,121,249
"dvz4[E2R0H","`pce1`ea#Z","BwQrdQYuYYzNWiXbMXenkEReJ","t1WdF+9aKVHfXxF/1gH+Vo3Na","d|z4[E2RRH","dvz46[E2Rz0H","dvz4[2RH","dvZ4[E2r0H",65,92,98,94,128
"mmj<wo{$9uo","kx&v6Gl(zE","p3TRR+cSyLL0joLWhPMZTBH9b","mqy1ojKmVKkHIx7IFg5fcHCKn","mmj<woek9uo","mmj;<wEo{$9uo","mmj<wo{9u","mmj<wo{$9UO",144,136,107,104,194
"tfu7S(q-qp","7b~zM=vQN:","LMs+MD/9bhebhsenYb1K3zZ/5","MacBMHU6Y0YU7Tv+HurbOd3Fl","tfu?S(q-qp","tfu7SH(q-qpp","tf7S(-qp","TFU7s(q-qp",43,122,95,87,152
"$+ymsaoQP7i","Lh{x$X!FY0J","dapGRylMK/ZV6tdAjn90XjcV+","6oU4eYfhjE7j/aURSwPR6as7L","$DymsaorP7i","$+y$msaoQQP7i","$+ymoQP7i","$+ymSAOQp7i",170,69,123,120,276
"%;Crhjvv1p","vzs~{(P-^1{","10t/h4MmrIZPbNSoMVlzHW01P","ZMwfa7m853AwCRsqCALr2i/k2","%tCrhkvv1p","%;OCrh*jvv1p","%Crjvv1p","%;CrhjVV1P",212,223,312,147,331
"tAS2zchvzs@","?lPvHuA4vp","lQR3ygqtEck32TB90+lt8iFE/","MFyx5nod1W2a7K89TOf2OBQUI","tAS2zihvzC@","tAS2zchSvJzs@","tASzchvz@","tAS2ZCHvzs@",97,158,163,111,307
"dszpbp9^MK","yFhtqWzln0#","UswX+GNFLMNzA992qn7DgsFQv","0pAZ6B7ohAZqdo5KDSUUGYGZx","jszpbp9^}K","1dszpbp9^MjK","dszpb9MK","dszpbm9^PK",121,118,89,84,200
"j5Bqre)9\h","dijgyRrp7<p","ZcfVvKB1+ph41h7pFQ0NcD2Jx","oHXa/sRklSdGT0r8AH3+N6im6","B5BqreH9\h","j5>B0qre)9\h","j5Bre9\h","j5HQRE)9\b",108,58,88,214,225
"h:kMYsJ0tM","=jXmmH6^yje","iVry3lLhrPG2fDGUwpeBONlaV","d9RO0GjlmawDzNXPNAOK+rICr","h:k)YsJ0tj","h:@kMvYsJ0tM","h:kMYstM","HH:kMYsJ0tM",107,115,143,52,118
"<Vjr/$e:8`t","Hys8t<.c^o","WBIIYCf9HEp6YiZRSVWZxdJue","LR4cZDzocodN2Et8Hd2kJ0l9W","<Vjr/$3:8`W","<VjUr/;$e:8`t","<Vjre:8`t","<vJr/$e:8`t",175,205,162,121,243
"hL_5a]OQj2","gr]vVSry0cn","vHbIOQvirGY7kXI47OnDLNbbt","ihvCHEtr0/KKW1zx745hy9yPQ","hLk5a]Ouj2","hmL_5a]OQEj2","h_a]OQj2","hL_5a]oqJ2",152,189,181,177,201
"==r4$X[{w>","hyv/ZFtyj7x","Oso/BOkqPbOKaqIqh3HOarvu1","1KG8I6N2ykVGQy2x29nOHtiFN","=7r4$X[{w3","==:r4$X0[{w>","==4$X[{>","==R4$x[{w>",70,298,90,268,184
"?y<l&gJ6dXR","v9*ernSbWhF","jod/Jugh4rzCetzYh/loF2LXb","RtRjJbwVhd6t5Ne1E+7ecx+9m","?y%l&QJ6dXR","o?y<l&gJ6dXrR","?yl&gJ6dR","?y<l&gJ6DDXR",158,79,108,62,175
"x4XV~dPCH]^",">nYwrAoS4]j","70R8Yx5zAdNqHdJoiOJfv2SwF","fwtAYirGLHbMGzfTrn+9tUrub","x4XV~dPyHC^","-x4XV~dP?CH]^","x4XV~dPC]","x4XV~dPCH]^",188,236,276,0,334
"q$vsezKo3bpw","m2vdgNSura$","vADGQYpWGDzpfmNlpYaffBJc1","r/n0EDxWpPLDBwwY4jLyBlnLC","#$vsezKo3Ypw","q$vs+ezKoP3bpw","q$sezo3bpw","q$WSEZKO3BPV",67,257,67,346,183
":pj.wIz4pu","dxA9yc`l(w","iJZSU+qPPk1UCdfglV6j/ZzPD","o2/I9pCWWXwkUx3ESNFqZjjvi",":pJ.wIz4Mu",":pj.:wI(z4pu",":pj.z4pu",":pj.wIZ4Pu",295,219,61,191,221
"xj3mg`zGi{i","aWo`+=wOz0","R0zOBk9JneElp4T2Yb40pasZ6","XUsYfMJT/u4S5ZJ9cw1XSdW21","xj3{guzGi{i","xj3mg`z(Gid{i","x3mg`zi{i","XJ3MG`ZGI{I",212,136,248,277,319
"dysdb#g1fQV","wg;:R4s_;bj","nFCVlViKz05qH9/YPK1VRBn4p","Tasbg0lqEFVTgaAnWjBfyPfa1","dysdb#gOfQV","dys;db#g%1fQV","dysb#g1QV","dGSDB#Y1fQV",153,225,226,230,358
"hLMug0~$Oq","l3r;vpXqwv","DoXdhsGnMc6Q296RP/Yvy0CwM","k0aRiilZh4n53WvU9eamZgouI","&LMug0h$Oq","h0LWMug0~$Oq","Lug0~$Oq","hLGUm0~$Oq",308,187,292,113,340
"B_x3uWo-bn","x\2jJz|<To(","V/49NkInm7U9TK2kHylBLi5gB","1r5JGAZqRfmqvyP35sndKHWDk","B_x3uto-b\","B_x3uWLo-:bn","_x3uWo-b","U_X3bWo-bn",136,92,57,98,203
"kxyV#peez0tj","_.cKanCbd9{","VEO/rjRJY4ILfgtNhx2BWvGRK","VLjr9Q8+gTXY5A+BM0G7fwT4s","kxyV#&eez+tj","kxyxV#pee@z0tj","kxy#pez0tj","VXYK#peez0tj",214,140,239,190,291
